Type	| Malware	| Hash(SHA256)
Android	| KRBankbot	| 6bf2d419d6e8bef8bd696bd63a8d2fc571b6df879a9718bf361496b2e8d28f32
Android	| KRBankbot	| a441c946753129055ba97f5ca0cb400f43429d444acdfd5f37a3b9d22cddbd64
Android	| KRBankbot	| ab9d5dcc4a6f7380bef193a74cb2bef0564aa0df837f4b5d5b7e976c165b5aa2
Android	| MysteryBot	| 08459eaa71168800b247e15f0c8618f26a920758aafac8eed3d32053fdafc121
Android	| MysteryBot	| 19fc101e3b68bc8f93d31be5e19dd2bcb961f7ef59315086cd364c64a6a3bfb4
Android	| MysteryBot	| 35e8556337ab0f77881c0d57841a63aeda404136a7211a8ace6d7e43dc4b8d8d
Android	| MysteryBot	| 446aae0a6b84561df6851ecf6d179293aea8ffc602e067cf3776c39d4f3bd198
Android	| MysteryBot	| 466debdb13bb85325a34edbbcfbfbfcf43a20d098859893abcea391a4cc96fd0
Android	| MysteryBot	| 494d0ea7aa98bb2e08d08f26c3e3769e41376d3a6d9dab56b5548f28aebb4397
Android	| MysteryBot	| 55d79e1c1130103ee9feda7eaa203b075b971a8cadadbc6520df0cfe41542a4c
Android	| MysteryBot	| 609a3307ace5829ad1bd8c15a7e85b17592566f9ad1bec7af726ce8fcac71a9a
Android	| MysteryBot	| a64ca4436fb3dc9c2b2418f075988f4bcea8aea767d1dcbb334dc47a4b27ab42
Android	| MysteryBot	| ac7db9ae8cc3fa97bc047430cc9ddf2da91702b13587a08ca1467f851e2455fb
Android	| MysteryBot	| bfc9a76289a8e4e1b04606812d090464f82719b1dd2332e522e53f613958b85e
Android	| MysteryBot	| c4f3227cdd7567136900c1c066f59d03e29b9c79228ea410287cf86bacfbb82d
Android	| MysteryBot	| ef767f1cce603e65d086e27938275103b843bfb40d6c2e0937cac08564b0bd0b
Android	| RoamingMantis	| 0a0a4c664e10836b50b697e8bb3f12a5433d4cc055483d8c1b35bb7704bddff5
Android	| RoamingMantis	| 2ef98245563a658fa313bc05faeb0b9af8c87d8346b54bcbaf43919baa35de30
Android	| RoamingMantis	| 4cd1863e54c569671aa8b32d84f581ac3a43ab383347cd05465254aa3ddc94c5
Android	| RoamingMantis	| 9bc97c3c5b736fffcf000b90b73b6648909458b6b4f7514cc063795398cef525
Android	| RoamingMantis	| 9f6bdd235356f350356e5d25240c8ae77cb79cdf00a64e087023a1190d8f82a7
Android	| RoamingMantis	| a0b29b2a6023a19499445b65d791f2ce0d4abc339e4b95cdae59aceb53da59f1
Android	| RoamingMantis	| b810ee342faa3773aa62d1769c51613914ce401d5e4a74a440867a5b81343d85
Android	| RoamingMantis	| bc2b4b4143615f87f5604b494ceae969b04051cc995e4d371fdeb3966b713344
Android	| RoamingMantis	| bcbb1529bd6773329a11effef8862fcdcd87b3888ad20f77f863c95a1785473e
Android	| RoamingMantis	| c16ee22544089093eef680a1f2c8fded49faec73fdc6f8511d3230eee20795ee
Android	| RoamingMantis	| d98ca0035021d8a6fe5f8750e6c04b6fe2181db1118636030f1ab5acbd6a0bfa
Android	| RoamingMantis	| db17209275ce0973526b0bf8142c10cf59061739b7a85cdace836a74941f4728
Android	| RoamingMantis	| ec1113fbbaa6711a9635cc5441596573147b1a2b937df31bd1cc1ab838991392
